function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:5.1.3.5	0	0	0	0	0	0	0	1	0	0	0
EC:5.3.1.5	202	171	375	334	189	271	142	108	108	347	291
EC:5.3.2.5	0	0	0	0	3	1	3	3	0	2	1
EC:5.4.3.5	1	4	0	0	1	4	3	2	2	0	2
EC:5.4.99.5	1097	571	946	687	314	495	811	699	293	522	598
EC:6.1.1.5	1938	1015	1808	1473	857	997	1353	1141	796	1180	1093
EC:6.2.1.5	565	171	331	396	253	181	158	153	160	494	257
EC:6.3.1.5	26	15	25	9	21	13	14	30	61	112	2
EC:6.3.2.5	1	6	23	1	2	10	2	39	14	0	26
EC:6.3.4.5	1442	804	1655	1179	760	853	1238	1169	647	806	1049
EC:6.3.5.5	3262	2175	3738	2736	1751	2368	2455	2569	1495	1998	2447
EC:6.4.1.5	2	0	0	0	0	0	0	0	0	0	0
EC:7.1.1.5	0	0	0	0	0	0	0	1	2	0	0
EC:7.2.2.5	354	138	368	192	69	110	473	343	84	4	89
EC:7.2.4.5	64	26	0	1	0	0	12	22	1	0	1
EC:7.3.2.5	1255	572	668	625	343	339	716	597	304	357	396
EC:7.5.2.5	0	0	0	0	0	0	1	0	0	0	0
EC:7.6.2.5	7	3	4	2	10	16	14	29	3	3	8
EC:1.1.1.6	1221	444	364	382	492	226	216	309	323	688	243
EC:1.1.98.6	2117	1264	2393	1926	1159	1354	1872	1905	1215	1371	1601
EC:1.2.99.6	1	0	0	0	0	0	2	0	0	0	0
EC:1.3.8.6	0	0	2	0	0	0	0	0	0	0	0
EC:1.3.98.6	646	322	417	291	83	198	28	86	132	247	246
EC:1.5.99.6	0	1	0	0	0	0	0	0	0	0	0
EC:1.8.5.6	33	4	4	2	43	40	79	98	2	1	45
EC:1.11.1.6	50	87	63	23	16	106	45	78	13	16	83
EC:1.12.99.6	867	161	48	12	16	37	38	74	14	7	130
EC:1.17.99.6	981	530	708	584	302	359	474	349	240	328	544
EC:1.18.1.6	0	0	0	0	0	0	0	0	1	0	0
EC:2.1.3.6	62	24	8	16	14	24	35	43	6	11	73
EC:2.2.1.6	3276	1872	2870	2643	1238	1564	2796	2695	1384	1652	1875
EC:2.3.2.6	18	95	48	7	2	91	9	31	6	1	85
EC:2.4.2.6	0	0	0	0	0	0	0	0	1	0	0
EC:2.5.1.6	2675	1514	2656	2036	1268	1441	4036	3855	1038	1478	1386
EC:2.7.1.6	1055	619	1122	1037	493	586	687	690	505	603	867
EC:2.7.4.6	215	94	203	145	119	126	25	70	57	176	190
EC:2.7.7.6	7198	3875	7905	5475	3790	4027	6097	5707	3074	4437	4697
EC:2.7.8.6	33	4	79	84	0	0	0	0	0	0	1
EC:2.7.9.6	0	0	0	0	0	0	0	1	0	0	1
EC:2.8.1.6	2276	1122	1325	1345	494	737	1212	888	531	636	749
EC:3.1.2.6	1223	697	1271	930	458	932	930	857	635	741	1012
EC:3.1.6.6	12	45	15	13	2	55	4	4	8	2	68
EC:3.1.11.6	1496	765	1203	1111	677	671	956	826	497	951	988
EC:3.2.1.6	0	0	0	1	0	0	0	0	1	3	0
EC:3.2.2.6	26	16	0	0	1	0	0	2	0	0	0
EC:3.4.15.6	0	0	0	0	1	0	0	0	0	1	1
EC:3.5.1.6	6	1	8	11	21	182	16	16	4	0	24
EC:3.5.2.6	648	432	588	533	173	274	67	122	376	66	217
EC:3.5.3.6	150	56	113	83	227	66	35	51	48	192	137
EC:3.5.99.6	1246	832	1708	1210	598	1011	1357	1025	509	546	1120
EC:3.13.1.6	392	257	376	243	99	178	575	517	115	42	238
EC:4.2.1.6	17	9	178	72	3	13	22	38	47	13	134
EC:4.2.2.6	15	80	29	3	0	66	1	10	3	2	55
EC:4.3.3.6	1707	573	1006	874	529	453	1199	974	377	629	633
EC:5.1.3.6	78	39	227	117	28	62	29	77	72	54	102
EC:5.1.99.6	21	9	56	19	19	36	0	0	58	13	78
EC:5.3.1.6	1467	821	1173	819	628	841	1053	1046	533	695	918
EC:5.3.2.6	11	23	35	7	3	14	9	55	30	96	10
EC:5.4.2.6	329	190	137	106	19	170	45	101	65	24	206
EC:6.1.1.6	1870	1047	2207	1552	858	942	1635	1454	831	1070	1301
EC:6.3.2.6	1275	741	1397	1157	643	663	972	999	654	886	997
EC:6.3.4.6	15	81	1	80	15	22	18	12	74	2	72
EC:7.1.1.6	0	1	0	0	0	0	0	0	0	0	0
EC:7.2.2.6	493	267	139	91	23	237	40	179	16	31	297
EC:1.2.7.7	0	2	7	10	0	0	3	4	19	142	6
EC:1.2.99.7	269	220	410	519	421	266	1235	930	291	300	202
EC:1.3.7.7	3	1	3	0	1	2	0	2	1	2	0
EC:1.3.8.7	0	0	0	1	0	0	0	8	5	2	22
EC:1.5.1.7	1125	687	1230	845	303	690	468	513	363	205	677
EC:1.7.1.7	23	15	9	2	5	2	9	5	7	1	1
EC:1.8.1.7	55	20	37	14	12	1	13	11	33	1	1
EC:1.8.3.7	86	206	77	32	25	46	7	9	17	8	108
EC:1.8.5.7	85	22	85	139	8	5	13	16	13	2	1
EC:1.14.13.7	0	0	1	0	0	0	0	0	0	0	0
EC:1.17.99.7	119	48	83	42	212	37	37	30	43	168	60
EC:2.2.1.7	1428	853	1629	1230	592	942	1481	1214	523	1047	1128
EC:2.4.1.7	630	235	920	645	334	273	849	577	265	441	437
EC:2.4.2.7	853	506	1153	738	522	596	669	617	417	530	700
EC:2.5.1.7	1870	1090	1733	1726	1057	860	2138	1711	745	1043	1156
EC:2.7.2.7	134	211	183	66	7	178	25	51	21	14	234
EC:2.7.4.7	1	0	0	0	0	0	0	0	0	0	0
EC:2.7.7.7	12630	6859	11468	9886	5259	6351	10768	9454	5065	7095	7383
EC:2.7.8.7	457	106	376	341	316	131	129	188	190	368	235
EC:2.8.1.7	1812	1186	1574	1372	862	1025	1740	1647	853	713	1214
EC:3.1.1.7	0	0	0	1	0	0	0	0	0	0	0
EC:3.1.3.7	54	172	94	37	5	139	8	14	4	13	201
EC:3.1.21.7	1	0	0	0	1	1	0	0	0	0	0
EC:3.4.11.7	3	8	29	8	2	1	1	5	24	0	2
EC:3.4.21.7	0	2	0	0	0	0	0	0	0	0	0
EC:3.5.2.7	92	208	181	69	6	176	30	44	24	17	212
EC:3.5.3.7	0	11	0	0	0	2	0	1	1	3	5
EC:3.5.99.7	0	0	0	0	0	0	0	1	0	0	0
EC:3.6.1.7	818	375	563	519	318	287	605	398	339	511	282
EC:4.2.1.7	564	452	706	422	392	569	227	228	278	87	580
EC:4.2.2.7	0	0	3	1	3	40	1	0	5	3	28
EC:4.3.1.7	75	25	22	13	2	18	20	30	24	43	15
EC:4.3.2.7	26	11	0	0	2	2	6	3	0	0	0
EC:4.3.3.7	2654	1122	1695	1469	618	838	1943	1697	650	698	1038
EC:5.1.1.7	1166	664	848	805	344	523	759	675	418	608	729
EC:5.1.2.7	4	0	0	0	0	1	0	0	0	0	1
EC:5.1.3.7	0	1	7	3	1	31	0	11	11	22	65
EC:5.1.99.7	4	0	0	0	1	1	2	1	0	0	0
EC:5.4.2.7	1222	599	883	663	259	402	720	603	383	235	352
EC:6.1.1.7	2522	1240	2318	1711	890	1151	1695	1577	827	979	1404
EC:6.2.1.7	6	0	0	0	11	13	16	26	1	3	0
EC:6.3.2.7	2	6	72	25	5	2	1	3	26	6	46
EC:6.3.3.7	1	0	1	0	0	0	0	0	34	171	0
EC:6.3.5.7	0	3	0	0	0	0	0	0	24	149	0
EC:7.1.1.7	590	364	253	215	25	387	76	109	29	28	466
EC:7.2.2.7	272	122	59	44	12	56	94	165	14	17	76
EC:7.5.2.7	654	362	419	555	191	142	374	446	218	160	347
EC:7.6.2.7	4	0	2	0	1	1	2	1	1	1	0
EC:1.1.5.8	2	0	0	0	0	0	0	0	0	0	0
EC:1.2.1.8	38	11	3	2	1	8	11	6	4	21	17
EC:1.2.7.8	158	277	364	213	78	415	289	439	114	275	660
EC:1.3.7.8	0	1	0	0	0	0	6	16	1	5	0
EC:1.8.1.8	25	15	5	0	7	1	17	2	0	2	1
EC:1.8.4.8	0	1	0	0	0	0	0	0	0	0	0
EC:1.17.1.8	1347	628	1018	903	507	534	796	781	511	675	791
EC:2.3.1.8	1320	815	1325	914	627	1012	1058	1119	510	663	943
EC:2.4.1.8	8	19	73	71	5	85	4	7	4	20	31
EC:2.4.2.8	1247	605	1176	1106	493	596	839	653	503	658	672
EC:2.7.1.8	0	0	12	3	0	0	0	0	3	0	1
EC:2.7.2.8	1532	729	1444	961	626	749	987	897	542	806	940
EC:2.7.4.8	2148	1136	1688	1402	635	846	1743	1388	621	563	953
EC:2.7.7.8	1823	876	1832	1372	951	1036	1226	1186	711	916	1141
EC:2.7.8.8	906	438	623	530	162	311	477	381	146	111	365
EC:2.8.1.8	62	155	104	103	5	209	16	48	9	28	198
EC:2.8.3.8	19	16	0	2	3	3	14	15	0	1	2
EC:3.1.1.8	0	0	0	0	0	0	0	1	0	0	0
EC:3.1.6.8	15	50	23	20	4	82	4	33	6	3	88
EC:3.1.26.8	293	113	142	95	12	40	29	77	70	25	98
EC:3.2.1.8	39	197	34	62	18	124	17	14	66	8	175
EC:3.2.2.8	63	107	122	182	83	20	7	9	49	44	38
EC:3.4.22.8	0	0	0	0	1	0	0	0	0	0	0
EC:3.5.3.8	1	1	11	1	2	0	1	4	4	0	0
EC:4.1.1.8	38	14	0	0	3	0	12	0	0	5	34
EC:4.2.1.8	588	515	905	511	164	634	230	295	237	86	723
EC:4.2.2.8	11	57	169	191	2	71	2	7	14	12	132
EC:5.1.3.8	60	153	61	62	4	242	6	34	26	24	249
EC:5.2.1.8	3084	2349	3470	2687	1805	2490	2833	2571	1527	1907	3059
EC:5.3.1.8	545	421	381	254	283	361	160	400	187	340	439
EC:5.3.3.8	3	1	0	0	0	0	0	0	0	0	0
EC:5.4.2.8	429	294	383	351	6	235	24	35	16	18	257
EC:5.4.3.8	442	236	241	280	116	116	218	323	132	255	230
EC:6.3.2.8	1320	847	1350	1234	693	848	1165	1020	690	906	928
EC:6.5.1.8	63	170	76	105	24	143	40	77	95	151	203
EC:7.1.1.8	1	6	4	7	0	2	0	0	0	0	0
EC:7.2.2.8	369	225	317	356	301	195	212	210	301	612	321
EC:7.4.2.8	12871	6200	8811	7138	5361	7506	12111	10302	5277	6462	6801
EC:7.5.2.8	30	7	0	0	1	2	0	4	0	0	0
EC:7.6.2.8	5	1	0	0	1	0	6	0	0	0	0
EC:1.1.1.9	110	16	219	217	185	77	131	74	123	259	136
EC:1.2.1.9	4	4	14	3	9	0	1	16	23	7	1
EC:1.3.1.9	1481	780	992	789	487	559	758	769	496	512	649
EC:1.6.5.9	1	0	0	0	0	0	3	3	1	1	1
EC:1.8.1.9	2145	1245	2261	1979	1028	966	1722	1609	924	1129	1365
EC:1.8.5.9	35	29	0	0	5	1	5	6	0	0	0
EC:1.11.1.9	43	48	106	100	11	82	25	30	30	18	73
EC:1.13.11.9	0	0	0	3	0	0	1	0	0	0	0
EC:1.14.14.9	3	0	0	0	0	0	5	0	0	0	0
EC:1.16.1.9	34	17	0	0	3	3	11	2	0	0	0
EC:1.17.1.9	57	12	3	3	6	20	36	37	2	2	14
EC:1.97.1.9	875	276	163	141	321	163	106	143	141	363	213
EC:2.1.2.9	1512	760	1050	862	486	541	653	635	409	625	747
EC:2.1.3.9	1	1	0	0	0	0	0	0	0	0	0
EC:2.2.1.9	40	145	325	52	12	217	62	79	17	10	260
EC:2.3.1.9	1286	666	1034	563	339	792	998	943	540	289	555
EC:2.3.3.9	82	36	0	0	5	2	24	10	0	0	0
EC:2.4.2.9	1725	879	1596	1227	851	865	886	845	789	1051	1032
EC:2.5.1.9	600	381	518	492	205	348	363	379	161	261	398
EC:2.6.1.9	1217	612	893	930	562	539	777	678	475	825	742
EC:2.7.3.9	1816	980	1425	1342	864	793	1296	1147	796	901	1015
EC:2.7.4.9	508	209	525	441	385	212	182	190	262	532	430
EC:2.7.7.9	753	257	524	377	398	251	303	277	321	552	359
EC:3.2.2.9	1097	704	1372	986	701	735	838	836	552	802	892
EC:3.4.11.9	1556	1013	1471	1079	472	830	1301	1040	484	448	1149
EC:3.4.13.9	178	149	186	179	150	97	57	51	55	153	115
EC:3.5.1.9	2	0	8	7	2	16	2	17	9	22	32
EC:3.5.2.9	109	93	103	97	42	86	139	94	121	101	78
EC:3.5.3.9	100	82	28	62	12	9	121	161	11	27	32
EC:3.5.4.9	70	155	204	180	139	192	110	110	100	49	243
EC:3.6.1.9	501	271	418	247	272	291	613	599	68	65	302
EC:4.2.1.9	1677	985	1973	1386	747	1093	1454	1376	1005	956	1367
EC:4.2.2.9	0	4	3	8	1	47	27	107	1	0	7
EC:4.3.2.9	11	13	251	219	100	52	140	230	46	102	49
EC:4.99.1.9	0	0	1	0	0	0	0	0	0	0	0
EC:5.1.3.9	657	318	422	171	275	414	342	447	247	260	346
EC:5.3.1.9	1811	971	1981	1469	803	1073	1944	1515	827	941	1309
EC:5.4.3.9	2	1	2	1	0	0	0	0	0	0	0
EC:5.4.99.9	1186	741	1318	1031	618	588	931	692	699	1051	821
EC:5.6.1.9	127	78	49	20	48	68	165	244	43	98	76
EC:6.1.1.9	2056	1090	2116	1653	992	1212	1441	1373	880	1118	1384
EC:6.3.2.9	1255	744	1133	996	609	801	690	667	498	766	844
EC:6.4.1.9	0	0	0	0	0	0	0	0	17	108	0
EC:7.1.1.9	1	1	1	0	0	0	0	0	0	0	0
EC:7.2.2.9	1093	627	1048	882	305	601	952	806	372	308	606
EC:7.5.2.9	153	152	195	239	240	213	338	276	158	202	192
EC:7.6.2.9	306	214	84	52	24	168	58	62	55	90	202
EC:1.1.1.10	0	0	0	0	0	0	0	1	0	0	0
EC:1.2.1.10	0	3	3	1	3	1	6	10	2	1	8
EC:1.4.3.10	0	0	1	0	0	0	0	0	0	0	0
EC:1.6.5.10	14	7	9	0	0	1	2	1	0	0	0
EC:1.11.1.10	31	3	83	78	4	1	2	2	20	0	0
EC:1.17.1.10	0	0	0	0	0	0	0	0	1	1	0
EC:2.1.1.10	69	25	130	168	8	0	15	15	51	29	18
EC:2.1.2.10	366	205	180	107	8	176	75	156	46	26	269
EC:2.3.2.10	3	3	29	5	8	0	3	15	19	0	3
EC:2.3.3.10	1	6	23	6	5	0	2	2	34	80	3
EC:2.4.1.10	1	0	20	8	3	0	0	5	20	1	0
EC:2.4.2.10	1909	1027	2265	1436	856	1121	1671	1456	805	1148	1123
EC:2.8.1.10	1154	591	1025	951	309	415	961	763	350	615	623
EC:2.8.3.10	124	76	89	59	1	56	46	106	45	12	63
EC:3.1.3.10	40	104	91	37	4	144	7	7	12	9	175
EC:3.2.1.10	1324	774	1285	1346	881	570	892	641	752	939	766
EC:3.4.11.10	2	3	0	0	0	0	2	2	0	0	0
EC:3.5.1.10	32	139	158	176	3	139	19	8	8	10	156
EC:3.5.2.10	580	408	152	164	246	186	140	121	117	144	290
EC:3.5.4.10	798	446	677	572	253	467	729	705	397	422	425
EC:3.5.99.10	1430	664	1133	922	545	604	812	810	456	672	862
EC:3.6.4.10	0	0	0	0	0	0	0	0	2	1	0
EC:4.2.1.10	965	716	898	951	557	671	445	638	642	725	851
EC:4.3.2.10	1616	926	1425	1169	816	859	1009	990	771	1138	1106
EC:5.1.1.10	1	0	0	0	0	0	0	0	0	0	0
EC:5.1.3.10	0	0	2	1	0	0	0	0	0	0	26
EC:5.3.3.10	1	0	0	0	0	0	0	0	0	0	0
EC:5.3.99.10	13	3	10	2	3	6	1	1	11	30	3
EC:5.4.2.10	1888	949	1828	1385	1078	883	964	960	787	1321	1004
EC:6.1.1.10	1879	1042	2144	1877	1091	1175	1606	1482	941	1559	1516
EC:6.3.1.10	974	458	636	519	285	342	463	366	173	305	330
EC:6.3.2.10	1296	807	1189	1121	678	726	850	675	579	782	908
EC:6.3.5.10	1066	517	733	576	382	387	518	431	266	417	390
EC:7.2.2.10	736	755	1000	1109	711	647	553	453	588	1004	936
EC:7.4.2.10	5	3	0	0	3	2	4	0	0	0	0
EC:7.5.2.10	50	18	0	2	1	0	10	5	1	1	0
EC:7.6.2.10	31	11	3	1	3	3	13	5	1	4	4
EC:1.2.1.11	1476	816	1951	1254	735	912	929	760	619	752	1025
EC:1.3.3.11	1	0	0	0	0	0	0	0	0	0	0
EC:1.4.1.11	1	1	21	7	0	8	1	1	2	0	9
EC:1.8.4.11	45	99	126	35	35	87	36	51	38	16	54
EC:1.17.1.11	0	0	0	0	0	1	0	0	0	0	0
EC:2.1.2.11	729	414	474	396	121	375	575	596	104	67	533
EC:2.1.3.11	41	191	276	286	4	204	7	13	9	19	278
EC:2.4.1.11	0	1	58	28	1	14	4	39	8	5	47
EC:2.6.1.11	0	1	0	0	0	1	0	0	0	0	1
EC:2.7.1.11	1811	1180	1702	1389	558	1110	983	1047	517	514	1155
EC:2.7.2.11	1246	604	950	907	587	553	804	765	443	736	800
EC:2.8.1.11	23	6	0	1	5	0	15	14	1	0	0
EC:3.1.1.11	176	501	227	150	32	258	58	105	154	74	377
EC:3.1.3.11	1783	889	1382	1031	510	714	1343	1199	405	467	732
EC:3.1.4.11	0	0	0	0	2	0	0	0	0	0	0
EC:3.1.26.11	1122	672	869	754	323	614	813	798	422	370	694
EC:3.2.1.11	13	61	50	32	11	61	2	9	54	8	48
EC:3.4.14.11	6	8	36	14	13	3	2	6	34	1	0
EC:3.4.17.11	206	82	240	208	6	11	39	53	11	43	7
EC:3.4.19.11	29	90	71	134	45	34	15	21	63	22	63
EC:3.5.1.11	979	661	1021	826	548	431	746	680	858	674	492
EC:3.5.3.11	656	398	261	278	125	241	249	280	242	244	313
EC:3.6.1.11	0	1	0	0	0	0	0	0	0	0	0
EC:4.1.1.11	1086	617	965	904	331	537	1086	912	322	247	665
EC:4.2.1.11	1612	1046	1936	1449	955	1190	1353	1293	851	910	1331
EC:4.4.1.11	5	2	1	2	5	3	13	9	4	5	7
EC:5.1.3.11	191	187	120	125	8	115	14	5	63	20	164
EC:5.3.99.11	396	144	99	155	69	41	18	23	44	23	76
EC:5.4.2.11	355	361	738	685	350	470	731	467	266	476	583
EC:6.1.1.11	1982	1110	2142	1549	896	1184	2083	1727	943	982	1297
EC:6.3.1.11	1	0	0	0	0	0	8	0	0	0	0
EC:6.3.5.11	0	0	1	0	0	0	0	0	0	0	0
EC:7.2.2.11	47	28	35	36	4	5	31	68	14	4	66
EC:7.4.2.11	70	20	46	23	209	78	111	81	41	46	60
EC:7.5.2.11	843	439	1131	463	264	615	976	925	401	124	578
EC:7.6.2.11	1073	748	1237	865	449	723	934	877	476	327	771
EC:1.1.5.12	16	13	0	0	2	2	3	6	0	0	0
EC:1.2.1.12	1612	969	2246	1372	959	1249	1449	1328	1026	1066	1229
EC:1.2.7.12	1	2	2	2	0	4	3	6	58	373	6
EC:1.3.1.12	1301	572	949	826	427	530	828	770	488	727	606
EC:1.3.8.12	0	0	0	0	0	0	0	0	1	0	0
EC:1.8.4.12	8	4	2	10	3	2	3	16	12	6	4
EC:2.3.1.12	27	17	37	10	7	29	16	67	30	14	37
EC:2.4.1.12	47	19	10	7	4	1	11	6	17	28	28
EC:2.4.2.12	1	0	1	1	0	1	0	0	12	79	0
EC:2.7.1.12	388	89	27	21	42	10	44	18	15	33	23
EC:2.7.7.12	1334	571	1133	1078	973	633	1061	901	557	876	747
EC:2.7.8.12	75	110	231	318	141	93	204	107	211	303	97
EC:2.7.11.12	0	2	0	0	0	0	0	0	0	0	0
EC:2.8.1.12	8	2	2	0	1	0	1	0	15	87	0
EC:2.8.3.12	77	36	20	19	3	13	26	24	3	1	17
EC:3.1.2.12	54	21	0	0	7	0	20	10	0	0	0
EC:3.1.3.12	5	2	1	0	1	1	1	2	0	0	0
EC:3.1.6.12	0	0	0	0	0	0	0	0	1	5	0
EC:3.1.26.12	344	120	284	278	291	124	185	121	165	440	240
EC:3.4.19.12	0	0	0	0	0	0	0	0	1	0	0
EC:3.5.3.12	594	341	534	419	292	325	646	568	135	78	335
EC:3.5.4.12	1174	646	1010	728	284	478	701	674	343	345	548
EC:3.6.1.12	0	0	0	1	0	0	0	0	0	0	0
EC:3.6.4.12	13282	7720	14296	11674	7187	8260	12245	10244	6172	8943	9819
EC:3.7.1.12	669	278	470	422	227	145	423	320	158	271	192
EC:4.1.1.12	19	134	84	33	9	130	6	12	16	12	163
EC:4.1.99.12	49	201	109	60	5	150	13	6	21	110	163
EC:4.2.1.12	11	6	0	0	1	1	3	2	0	0	0
EC:4.3.1.12	0	0	0	0	0	0	0	0	0	3	0
EC:4.6.1.12	897	575	787	681	454	498	626	508	378	582	577
EC:4.99.1.12	823	293	268	295	221	139	58	86	159	248	176
EC:5.1.1.12	1	1	0	0	3	3	1	4	1	8	2
EC:5.3.1.12	204	296	443	345	239	372	199	215	212	75	538
EC:5.4.2.12	1507	1096	1448	1036	571	1155	1004	1083	560	744	1112
EC:5.4.99.12	2149	1095	1558	1342	806	953	1512	1375	687	966	966
EC:6.1.1.12	1615	849	1378	1297	563	729	1152	1197	578	871	978
EC:6.3.1.12	176	34	209	228	163	30	1	1	124	455	118
EC:6.3.2.12	0	0	0	1	0	0	0	0	0	0	0
EC:7.5.2.12	20	12	1	0	3	3	8	6	1	0	1
EC:7.6.2.12	22	15	0	0	1	0	0	4	0	0	0
EC:1.1.5.13	27	5	0	0	4	0	4	3	0	0	0
EC:1.3.8.13	50	28	2	3	12	22	39	42	6	8	17
EC:1.4.1.13	4765	2711	4231	3224	2491	2867	3685	3642	1919	2255	3131
EC:1.7.1.13	719	448	617	552	184	327	71	118	209	286	392
EC:2.1.1.13	1686	890	1141	920	649	563	778	673	408	714	733
EC:2.1.2.13	17	10	0	0	1	1	5	0	0	0	0
EC:2.3.2.13	381	221	351	231	111	165	603	604	62	80	154
EC:2.3.3.13	1643	943	1702	1278	650	1064	1130	1074	668	921	1168
EC:2.6.1.13	10	97	73	17	2	64	0	4	5	2	101
EC:2.7.3.13	0	0	34	11	0	0	0	1	1	1	53
EC:2.7.7.13	202	464	301	165	112	450	36	101	152	99	515
EC:2.7.8.13	1259	747	1219	1143	603	677	917	932	481	774	974
EC:2.7.11.13	0	0	0	0	0	0	0	0	0	0	1
EC:2.8.1.13	1087	954	1098	811	433	811	707	640	408	231	930
EC:2.8.3.13	0	1	0	0	0	0	0	0	0	0	0
EC:3.1.6.13	8	70	18	2	0	18	2	2	2	1	57
EC:3.4.14.13	0	0	18	6	0	0	0	0	0	1	4
EC:3.4.17.13	721	308	460	375	75	249	516	321	122	29	311
EC:3.4.24.13	0	0	0	1	0	0	0	0	0	0	0
EC:3.5.4.13	81	20	206	150	151	84	132	114	102	322	126
EC:3.6.1.13	972	550	840	745	279	404	495	536	406	400	585
EC:3.6.4.13	2040	1285	2108	1533	739	1471	1763	1756	681	781	1599
EC:4.1.2.13	2710	1765	2666	2108	1183	1909	2410	2193	1266	1411	1788
EC:4.4.1.13	1961	1053	1546	1429	961	932	982	829	694	1139	1167
EC:4.6.1.13	0	5	6	6	0	42	1	4	2	1	18
EC:5.1.1.13	148	41	175	195	146	24	7	5	99	376	117
EC:5.1.3.13	752	645	1341	1011	318	855	637	575	500	402	751
EC:5.2.1.13	0	0	0	0	0	2	0	0	0	5	2
EC:5.3.1.13	382	270	386	339	18	211	36	78	20	22	270
EC:6.1.1.13	1178	511	728	440	189	336	750	574	235	271	253
EC:6.2.1.13	317	178	106	105	31	117	17	23	79	171	149
EC:6.3.1.13	0	0	1	0	0	0	0	0	0	5	0
EC:6.3.2.13	1388	773	1086	874	277	724	874	894	433	325	828
EC:6.3.4.13	1254	781	1124	925	622	793	894	833	533	825	917
EC:6.3.5.13	308	163	598	725	449	225	268	243	378	889	382
EC:7.2.2.13	3	6	8	6	1	3	6	8	5	5	4
EC:1.1.1.14	1805	1142	2006	1533	856	1208	1447	1247	856	768	883
EC:1.1.99.14	14	6	1	0	1	0	3	0	0	0	0
EC:1.3.1.14	1489	762	1392	1007	667	815	1065	986	576	729	877
EC:1.4.1.14	50	32	71	51	43	27	56	67	42	58	44
EC:1.8.4.14	43	63	63	45	12	85	14	21	28	13	106
EC:1.14.14.14	0	0	0	0	1	0	0	0	0	0	0
EC:2.1.1.14	981	425	1540	986	391	688	750	459	573	936	608
EC:2.3.3.14	0	0	0	0	0	1	0	1	0	0	0
EC:2.4.2.14	1576	1052	1627	1379	881	1135	1045	1102	658	955	1299
EC:2.6.1.14	2	7	19	4	7	0	0	2	24	0	0
EC:2.7.1.14	26	56	91	143	9	14	0	0	18	4	14
EC:2.8.1.14	0	1	0	0	0	1	0	1	4	0	2
EC:3.1.4.14	20	28	9	10	3	30	12	4	1	0	2
EC:3.1.6.14	0	0	2	2	0	0	1	3	0	2	0
EC:3.2.1.14	57	169	110	71	3	179	8	4	11	15	168
EC:3.4.17.14	396	402	475	405	171	271	192	272	363	251	377
EC:3.5.2.14	1	53	2	3	0	0	13	22	2	4	4
EC:3.7.1.14	4	0	0	0	0	0	5	0	0	0	0
EC:4.1.99.14	379	116	299	225	60	113	486	345	46	15	100
EC:4.3.1.14	7	22	71	83	23	42	87	37	54	98	26
EC:5.1.3.14	529	350	399	225	239	477	97	154	197	346	408
EC:5.3.1.14	306	326	479	172	43	196	28	47	126	90	418
EC:5.3.3.14	1	6	31	8	6	0	0	8	29	1	0
EC:6.1.1.14	1423	867	2015	1492	888	1075	1385	1244	740	914	1163
EC:6.2.1.14	398	114	107	100	24	40	0	1	52	46	16
EC:6.3.1.14	0	0	1	1	0	0	1	0	10	71	0
EC:6.3.2.14	34	12	0	0	3	1	10	6	0	0	0
EC:7.2.2.14	130	83	296	175	216	100	4408	3622	104	230	105
EC:7.6.2.14	12	2	1	1	0	0	0	1	0	0	0
EC:1.1.3.15	601	323	333	395	239	251	252	315	261	370	210
EC:1.5.99.15	0	0	0	0	0	0	0	0	14	90	0
EC:1.7.1.15	64	12	2	0	5	3	20	8	1	3	0
EC:1.8.1.15	71	23	14	2	1	2	17	12	10	2	0
EC:1.8.4.15	52	34	7	0	4	3	10	8	1	1	2
EC:1.13.11.15	2	1	0	0	0	0	4	0	0	0	0
EC:2.1.3.15	0	0	1	0	2	0	0	0	0	0	3
EC:2.3.1.15	36	20	3	0	5	3	12	3	0	1	0
EC:2.5.1.15	766	460	642	606	540	368	243	299	305	716	579
EC:2.7.1.15	473	218	433	457	364	281	496	364	355	945	453
EC:2.7.2.15	14	3	0	0	7	4	5	1	0	0	0
EC:2.7.7.15	35	84	117	193	68	34	1	33	28	111	49
EC:2.7.8.15	0	0	0	0	0	0	0	0	8	75	0
EC:2.8.1.15	0	0	0	0	0	0	0	0	1	0	0
EC:3.1.3.15	1861	703	1032	831	443	545	1062	950	411	379	668
EC:3.6.1.15	20	20	13	37	6	10	122	149	2	2	23
EC:4.1.1.15	158	206	405	398	21	259	40	61	108	264	374
EC:4.3.1.15	417	209	150	160	228	75	92	154	111	336	93
EC:4.4.1.15	21	8	9	4	3	6	2	12	0	1	5
EC:5.1.3.15	67	16	69	59	184	87	155	84	17	48	85
EC:5.3.1.15	279	66	9	7	5	4	24	36	4	0	49
EC:5.4.99.15	1	0	0	0	0	0	0	0	0	0	0
EC:6.1.1.15	1605	912	1895	1491	838	1181	1367	1159	809	1071	1161
EC:6.3.4.15	1425	770	1329	1226	602	627	751	713	653	835	886
EC:7.2.2.15	2	1	0	0	0	0	0	0	0	0	0
EC:7.6.2.15	21	5	0	0	1	1	9	4	0	0	0
EC:1.1.1.16	0	0	0	0	0	0	5	2	0	0	0
