ASV	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29	taxonomy
55d86c5d6e34ee3435e904f951bad37e	0	0	0	0	0	0	0	0	0	0	0	61	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
89f40e8549c8ce6a0e9b08036572f9f3	0	0	0	13	0	48	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
ab844d423261199ca27e47229e3242e4	0	0	0	0	0	0	34	27	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
476107cc35a5d974a5967e3aaa3dad44	0	0	60	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4c52a8029625903bb8c4aa9b40216836	0	13	0	0	45	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__[Clostridium]; s__sordellii
bb3612d6c6262d47b07470175f2afc84	0	0	0	0	0	0	0	0	0	58	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__perfringens
c18dae5503801a39d3adaf67ecee7a9a	0	0	0	0	0	0	0	0	58	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
0a2b656f994fc7cfd4dca36fb58085f7	0	0	40	17	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
389a4db996114f8983992efe8f51d486	0	0	0	57	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
bb0ec67481c826edfe26490692202c3f	0	7	0	0	0	31	0	0	0	0	0	19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
c9194142ee19c9c9109e99b5d73d02d0	0	0	0	57	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
064e8efe1febb870ec77a609793361dc	0	0	0	0	0	0	0	0	0	56	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
138733a331c9a9283517a525d9e6c65d	0	0	0	0	0	0	0	0	0	0	56	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
2ee657e8d73105fdb87313a047117230	0	37	0	0	0	0	0	0	5	0	0	14	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
48558c6f4efe5bb809d323a128697a06	0	0	56	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
2572491672807c455bc314dc5b6e1375	42	2	0	0	11	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
a26f03cebd78924926630c580d7f92ad	0	0	0	55	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__faecis
6f323da0eca605b133f3270f331d52fa	0	0	0	0	0	0	0	52	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__ruminis
7880b17b21da81ac4f5ca979cdbf52a6	0	0	20	0	0	17	0	0	15	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
8954856044dc31156803857144f6b482	0	52	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__
b4d4f36b51f0fea50c6f46c397edf231	0	0	0	0	0	0	0	0	9	43	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
c2182c5e5a155555e0514b788cf764de	0	0	0	0	0	0	0	0	41	11	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
e665d8838b433fc9698778c0817bb6fd	0	0	0	0	0	0	0	0	13	29	0	10	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
52674445f36127e1e8d7d7dd1a899889	0	0	0	12	0	0	4	8	7	14	0	6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
b4cecf594b150ee39754cc963dfeafb2	0	0	20	0	0	0	0	0	30	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
a29990fffb08af05632b35e9d3d8fd77	0	0	35	14	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
c96ab9fa28e0a9a26ee51ac80bbfafde	0	0	0	0	0	0	0	0	0	49	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
862a136f21284a4c0f8ec015731029d5	0	0	0	0	0	47	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
a45cae49b25e218e7c11ff2fc2f1a7eb	0	0	0	0	0	47	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
3a2e84529949060743db3e340cfee803	0	0	46	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
7c76f7c679220cf37848789b663c0a02	0	0	46	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
aecd6eea769f8326105fcea9058f2b41	0	0	0	0	0	46	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
b0cce80cd5e1c78e70e026edb63a65f9	0	0	0	0	0	0	46	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
cfa58dbf745e6cd6f56300fcb0344c4c	0	0	18	28	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
3fc4e1ba3ec8c5224060431bff321530	45	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__
7b9cafe60e45bfc1f84712279045bdc0	0	0	45	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
fd16de0640142a7bf4d22f788d1c7918	0	0	0	0	0	45	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
a5f1ef9b9c03550b338fe7b318b227e7	0	44	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
b813547b4b9ea900c009981f1abcf701	13	0	0	31	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
d25cde7f2c9d8b0e3706df6f046982fc	44	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
f684347f6c1a5dcf941c4c17be9dfb8d	0	0	44	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
45a44824c4535a0dd0a7f4e18a5aa25d	0	0	0	42	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
5207023275b891ef37f87a0ec090c4c0	0	0	15	27	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae
ef5af48ec2b6c023c5de28c59cb08a40	0	0	0	0	0	0	0	0	27	15	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
0ce68e02922e623adb52c5f83a480d0c	0	0	0	0	0	0	0	0	0	0	0	41	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
1a0d46cab086ec394378000a6a136d8d	41	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
98085719203a86f6493c6efe34fe0975	0	0	4	26	0	0	0	0	11	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
d1cf1d11d3e2b5a8fe82b718b6fadc2d	0	0	0	0	0	23	0	0	0	0	0	18	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
39b365b0c0ce4c0e1165fd6da67ec3a1	29	11	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
e31616e09d739d3940607158a07388b9	40	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
2f97492ef9c9571e2e76166dde9d64eb	25	0	0	0	0	0	0	0	0	0	0	14	k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae
d3829c53b66db828d6bff7f21c6dad28	39	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
d5d977abb40d21dd360b1712ae9b839a	0	0	0	0	0	0	0	0	0	0	30	9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
d9ba20058184522e2c24d0fd93092aa4	0	0	0	0	0	0	0	0	0	39	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
