taxlevel	rankID	taxon	daughterlevels	total	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2
5	0.1.8.2.2.14	Peptostreptococcaceae	9	122928	1223	470	668	1417	1790	1578	4721	3635	1598	808	295	761	163	69	112	103	3957	5078	11753	15006	7289	3032	3591	6659	3355	1247	3421	3768	871	744	1010	1398	1652	1337	704	787	6913	3785	3216	2916	928	868	654	882	2278	2619	466	1195
5	0.1.8.2.2.15	Ruminococcaceae	21	151609	306	308	633	621	324	249	376	431	1886	714	1216	1419	565	540	888	957	89	199	79	121	399	968	1137	712	137	483	899	700	211	214	711	668	176	317	761	239	269	280	318	318	336	843	1979	1309	1515	1005	1200	1501
5	0.1.8.2.2.16	Syntrophomonadaceae	1	80	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	25	15	15	9	0	0	0	0	0	0	0	0
5	0.1.8.2.2.17	Unknown	6	5763	65	65	31	30	75	57	28	23	243	106	127	151	238	116	216	226	2	8	7	6	76	58	102	100	235	334	59	71	39	118	29	61	81	91	152	78	89	215	178	190	111	225	296	342	170	140	77	211
5	0.1.8.2.3.1	Thermoanaerobacteraceae	2	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0.1.8.2.3.2	Thermoanaerobacterales Family III	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.2.3.3	Thermoanaerobacterales Family IV	1	93	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	63	2	7	3	1	0	1	4
5	0.1.8.2.3.4	Thermodesulfobiaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0.1.8.3.1.1	Erysipelotrichaceae	17	156085	1021	804	1005	1499	1006	640	901	798	2397	533	1401	2653	692	255	426	355	1279	1897	1621	2482	1356	810	1131	2221	3312	2433	3581	3615	3487	4251	12857	15236	9822	6769	12247	8050	1588	1683	3418	3724	2227	2647	3218	4101	8060	4488	1667	4239
5	0.1.8.4.1.1	Firmicutes unclassified	1	514	6	6	0	2	6	2	1	1	17	20	14	20	65	21	10	17	27	12	12	4	22	35	13	10	23	22	10	13	17	12	18	17	2	3	4	1	2	3	3	1	0	1	1	4	4	1	0	4
