Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
Desulfovibrionaceae	0	0	0.057383043	0.059177368	0	0	0	0	0.124804122	0.075824248	0.055515874	0.088816283
Odoribacteraceae	0	0	0.288656294	0.121824519	0	0	0	0	0.158590958	0	0	0
Dysgonomonadaceae	0	0	0.144509509	0	0	0	0	0	0	0	0	0
Atopobiaceae	0	0	0.142478251	0.116979052	0.165049191	0.080677886	0	0	0.135444386	0.299740647	0.214781696	0.144105786
Micrococcaceae	0	0	0.116869889	0.081142466	0	0	0	0	0.189818646	0.101759558	0.146569809	0.070626
Corynebacteriaceae	0	0	0.113986228	0.080829116	0.054035938	0	0	0	0.07554054	0.107124103	0.086295175	0.111610119
Rhizobiaceae	0	0	0.075265369	0.077580972	0	0	0	0	0.081252922	0.110893964	0.088216637	0.112208997
Sphingomonadaceae	0	0	0.064837035	0.058741735	0	0	0	0	0.06229543	0.074296287	0.059682034	0.074490068
Mycobacteriaceae	0	0	0.062515597	0	0	0	0	0	0	0.072768326	0.069002021	0.080260132
Microbacteriaceae	0	0	0.061264197	0.053277209	0	0	0	0	0.05374209	0.071340449	0.057212866	0.063725878
Barnesiellaceae	0	0	0.060157887	0	0	0	0	0	0	0	0	0
Xanthomonadaceae	0	0	0.055007196	0.053537061	0	0	0	0	0.059797215	0.084104598	0.071345486	0.086858211
Akkermansiaceae	0	0	0.049421237	0.16863601	0	2.02599051	0	7.50513924	0.052584381	0.054019106	1.416287799	0.164535354
Treponemataceae	0	0	0	0.055822226	0	0	0	0	0.055806164	0.067483848	0	0.055664453
Yersiniaceae	0	0	0	0.051702815	0	0	0	0	0.070658357	0.07122702	0.056189284	0.072167461
Alcaligenaceae	0	0	0	0.051580532	0	0	0	0	0.062272581	0.077272142	0.068346569	0.081723479
Podoviridae	0	0	0	0	0.733082814	1.678618155	0	0	0.133403161	0.281111529	0.584806716	0.157932067
Peptoniphilaceae	0	0	0	0	0.059164898	0.057241148	0.052686292	0.070472451	0.066720622	0.099417573	0	0.086446807
Eubacteriales Family XIII. Incertae Sedis	0	0	0	0	0.053772374	0	0.054279176	0.108258577	0.066431195	0.133933486	0	0.070047952
Leptotrichiaceae	0	0	0	0	0.0512527	0	0	0.059919263	0.064481368	0.084925293	0	0.057117384
Zoogloeaceae	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomycetaceae	0	0	0	0	0	0	0	0.097854983	0	0	0	0
Sphingobacteriaceae	0	0	0	0	0	0	0	0.063223934	0.100179948	0.060471239	0	0.064199773
Thermoanaerobacterales Family III. Incertae Sedis	0	0	0	0	0	0	0	0.055438237	0.054625605	0.080628319	0	0.062502083
Methanobacteriaceae	0	0	0	0	0	0	0	0	0.848372512	13.31775124	0	0
Chitinophagaceae	0	0	0	0	0	0	0	0	0.068563817	0	0	0
Morganellaceae	0	0	0	0	0	0	0	0	0.061632794	0.057802311	0	0
Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0.067243644	0.052041082	0.056153971
Roseobacteraceae	0	0	0	0	0	0	0	0	0	0.063600558	0.060220762	0.078119792
Arcobacteraceae	0	0	0	0	0	0	0	0	0	0.062926653	0	0
Thermoanaerobacteraceae	0	0	0	0	0	0	0	0	0	0.062519642	0	0
Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0.06145207	0	0
Oxalobacteraceae	0	0	0	0	0	0	0	0	0	0.056668017	0	0.058388048
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0.05616092	0.05100852	0.059481652
Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0.053872314	0.050227365	0.058330764
Lawsonellaceae	0	0	0	0	0	0	0	0	0	0.05311167	0	0
Micromonosporaceae	0	0	0	0	0	0	0	0	0	0.052704658	0	0.050394322
Erwiniaceae	0	0	0	0	0	0	0	0	0	0	0	0.056304993
Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0.052524247
Pectobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.051649363
