"Samples"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"50"	"Sphingomonadaceae"	0	0	0	0	0	0	0	0	0	0	0
"51"	"Mycobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
"52"	"Microbacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
"53"	"Barnesiellaceae"	0	0	0	0	0	0	0	0	0	0	0
"54"	"Xanthomonadaceae"	0	0	0	0	0	0	0	0	0	0	0
"55"	"Akkermansiaceae"	0	0	0	0	0	0.00837938930008379	0	0.01892798941	0	0	0.0208828830183294
"56"	"Treponemataceae"	0	0	0	0	0	0	0	0	0	0	0
"57"	"Yersiniaceae"	0	0	0	0	0	0	0	0	0	0	0
"58"	"Alcaligenaceae"	0	0	0	0	0	0	0	0	0	0	0
"59"	"Podoviridae"	0	0	0	0	0	0.00147595617001476	0	0	0	0	0
"60"	"Peptoniphilaceae"	0	0	0	0	0	0	0	0	0	0	0
"61"	"Eubacteriales Family XIII. Incertae Sedis"	0	0	0	0	0	0	0	0	0	0	0
"62"	"Leptotrichiaceae"	0	0	0	0	0	0	0	0	0	0	0
"63"	"Zoogloeaceae"	0	0	0	0	0	0	0.0029032788499129	0.00623407569	0	0	0
"64"	"Saccharomycetaceae"	0	0	0	0	0	0	0	0	0	0	0
"65"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
"66"	"Thermoanaerobacterales Family III. Incertae Sedis"	0	0	0	0	0	0	0	0	0	0	0
"67"	"Methanobacteriaceae"	0	0	0	0	0	0	0	0	0.00603054592066336	0.0388095815188357	0
"68"	"Chitinophagaceae"	0	0	0	0	0	0	0	0	0	0	0
"69"	"Morganellaceae"	0	0	0	0	0	0	0	0	0	0	0
"70"	"Pseudonocardiaceae"	0	0	0	0	0	0	0	0	0	0	0
"71"	"Roseobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"72"	"Arcobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"73"	"Thermoanaerobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"74"	"Mycoplasmataceae"	0	0	0	0	0	0	0	0	0	0	0
"75"	"Oxalobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"76"	"Acetobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"77"	"Bradyrhizobiaceae"	0	0	0	0	0	0	0	0	0	0	0
"78"	"Lawsonellaceae"	0	0	0	0	0	0	0	0	0	0	0
"79"	"Micromonosporaceae"	0	0	0	0	0	0	0	0	0	0	0
"80"	"Erwiniaceae"	0	0	0	0	0	0	0	0	0	0	0
"81"	"Neisseriaceae"	0	0	0	0	0	0	0	0	0	0	0
"82"	"Pectobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
